source,author,title,description,url,url_to_image,published_at,content,category,full_content
Fly4free.com,Giovanni,"3 in 1 trip from Vienna across the Arabian Peninsula: Kuwait, Oman and Abu Dhabi from €182",Visit 3 countries on a single journey! Book flights from Austria to Kuwait and onwards to Muscat and Abu Dhabi starting at only €182 for a round trip.,https://www.fly4free.com/flight-deals/europe/trip-from-vienna-to-kuwait-oman-and-abu-dhabi/,https://assets.fly4free.com/wp-content/uploads/2023/10/oman_Pixabay_PH_schamane27.jpg,2023-10-03 11:00:10.000000,Visit 3 countries on a single journey! Book flights from Austria to Kuwait and onwards to Muscat and Abu Dhabi starting at only 182 for a round trip. The Sultanate of Oman will give you so much varie… [+2362 chars],Oman,
Marketscreener.com,Publicnow,Omani Qatari Telecommunications SAOG : Ooredoo Thinks Pink and Partners with Oman Cancer Association for Breast Cancer Awareness,"(marketscreener.com) 
 
 Muscat, Oman
 
 
 October is known around the world as the Pink Month. And no, not because of a popular movie that came out last summer, but because of a global effort to raise awareness of breast cancer and how to navigate prevention…",https://www.marketscreener.com/quote/stock/OMANI-QATARI-TELECOMMUNIC-7558317/news/Omani-Qatari-Telecommunications-SAOG-Ooredoo-Thinks-Pink-and-Partners-with-Oman-Cancer-Association-45003707/,https://www.marketscreener.com/images/twitter_MS_fdblanc.png,2023-10-06 17:14:01.000000,"Muscat, Oman
October is known around the world as the Pink Month. And no, not because of a popular movie that came out last summer, but because of a global effort to raise awareness of breast cancer… [+1789 chars]",Oman,"Muscat, Oman October is known around the world as the Pink Month. And no, not because of a popular movie that came out last summer, but because of a global effort to raise awareness of breast cancer and how to navigate prevention and early detection. This year, in partnership with the Oman Cancer Association (OCA) and Muscat Grand Mall, Ooredoo is supporting Breast Cancer Awareness Month with a campaign allowing women in Oman over the age of 40 to be screened free of charge. Through this campaign, Ooredoo aims to underline the importance of regular check-ups and that early detection matters. Ooredoo is committed to being a company with a purpose beyond profit. They are advocates of women's empowerment and enablement as well as caring, and stress the importance of not putting off regular health screenings because of cost, fear, or just because they are too busy being their family's caretakers. Breast cancer prevention and early detection, which includes self-exams, regular clinical exams and mammograms are important and can save lives. Indeed, experts have confirmed that early detection when something is still tiny gives the very best chance of successful treatment. The free screening took place in a Mobile Mammography Unit at Muscat Grand Mall, with the first day being for Ooredoo staff and the second day for members of the public. Mammogram tests take just 20 minutes and Ooredoo is now encouraging women countrywide over the age of 40 to get tested regularly. To learn more about breast cancer, including causes, signs, symptoms, and screenings, please visithttps://oca.om/breast-cancer. Ooredoo's efforts to support Pink Month are part of 'Ooredoo Goodwill'. The all-encompassing term covers various Corporate Social Responsibility activities and initiatives that Ooredoo drives and takes part in to make a real difference in the communities it serves. Ooredoo customers can also donate to OCA by texting 'Donate' to 90233 or donating through the Ooredoo App. Attachments Disclaimer Omani Qatari Telecommunications Company SAOGpublished this content on04 October 2023and is solely responsible for the information contained therein. Distributed byPublic, unedited and unaltered, on06 October 2023 17:13:17 UTC."
Yahoo Entertainment,Josh Schafer,Oil prices surge as surprise attack on Israel sparks fears of broader conflict,Iran's involvement in the conflict will be key in determining how much it could impact oil prices.,https://finance.yahoo.com/news/oil-prices-surge-as-surprise-attack-on-israel-sparks-fears-of-broader-conflict-134935071.html,https://s.yimg.com/ny/api/res/1.2/TU_i791S7Kt45rduijsWrQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2023-10/17000ba0-66a5-11ee-bbbf-908cd04cc3c0,2023-10-09 13:49:35.000000,"Oil prices jumped nearly 4% Monday morning after a surprise attack on Israel by the Palestinian Islamist group Hamas fueled concerns of broader conflict breaking out in the Middle East region.
West … [+2513 chars]",Oman,
Techreport.com,Jeff Beckman,Omegle Statistics and Facts [2023 Data],"In the ever-evolving landscape of online communication, Omegle has consistently stood out as a unique and enigmatic platform. In 2023, it’s more intriguing than ever to delve into the statistics...
The post Omegle Statistics and Facts [2023 Data] appeared fir…",https://techreport.com/statistics/omegle-statistics/,https://techreport.com/wp-content/uploads/2023/09/What-is-Omegle.png,2023-10-04 06:06:27.000000,"In the ever-evolving landscape of online communication, Omegle has consistently stood out as a unique and enigmatic platform. In 2023, its more intriguing than ever to delve into the statistics and f… [+11362 chars]",Oman,
Plos.org,"Mohammed Al Maqbali, Norah Madkhali, Alexander M. Gleason, Geoffrey L. Dickens","Fear, stress, anxiety, depression and insomnia related to COVID-19 among undergraduate nursing students: An international survey","The emergence of COVID-19 has produced unprecedented change in daily life activities leading to major impacts on psychological wellbeing and sleep among individuals worldwide. The study aimed to assess levels of fear, stress, anxiety, depression, and insomnia…",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0292470,https://journals.plos.org/plosone/article/figure/image?id=10.1371/journal.pone.0292470.t003&size=inline,2023-10-05 14:00:00.000000,"Abstract
The emergence of COVID-19 has produced unprecedented change in daily life activities leading to major impacts on psychological wellbeing and sleep among individuals worldwide. The study aim… [+33467 chars]",Oman,
NPR,Bill Chappell,"Senate acts on 'unprecedented' lack of U.S. ambassadors, spurred by Israel-Hamas war",The lack of a U.S. ambassador in Israel hobbles the Biden administration's ability to pursue its goals. The U.S. also lacks ambassadors in Egypt and other countries in the region.,https://www.npr.org/2023/10/19/1205700419/israel-us-ambassador-senate-middle-east,https://media.npr.org/assets/img/2023/10/13/us-ambassador-israel-hamas_wide-58a51098f1def162b3ae319f3cd26583606d6b98-s1400-c100.jpg,2023-10-19 20:26:15.000000,"A road sign points the way to the U.S. Embassy in Jerusalem, which does not currently have an ambassador, hampering diplomatic efforts to calm violence between Israel and Hamas militants.
Ahmad Ghar… [+6159 chars]",Oman,"A road sign points the way to the U.S. Embassy in Jerusalem, which does not currently have an ambassador, hampering diplomatic efforts to calm violence between Israel and Hamas militants.Ahmad Gharabli/AFP via Getty Imageshide caption A road sign points the way to the U.S. Embassy in Jerusalem, which does not currently have an ambassador, hampering diplomatic efforts to calm violence between Israel and Hamas militants. With Israel at war with Hamas, the Senate is moving urgently to fill key U.S. diplomatic posts throughout the Middle East — many of which have been sitting empty for months. Most glaringly, the U.S. does not currently have an ambassador in Israel. That vacancy hobbles the Biden administration's ability to pursue a number of goals, from negotiating the release of U.S. hostages held by Hamas to easing the violence and preventing it from blossoming into a wider conflict. It is ""unprecedented"" to have so many U.S. ambassador posts sit vacant for as long as they have this year, Farah Pandith, an adjunct senior fellow at the Council on Foreign Relations, told NPR. ""We're in the midst of an extremely dangerous moment in the Middle East and the value of having a U.S. ambassador on the ground in Israel can't be overstated,"" Pandith said. ""It is critical in both the short term and over the longer term."" It's the second recent war to break out in a country without a U.S. ambassador. When Russia invaded Ukraine in 2022, the top U.S. diplomatic postwas also empty. Jack Lew, President Biden's nominee to be the U.S. Ambassador to Israel, arrives for a Senate Foreign Relations Committee confirmation hearing on Capitol Hill on Wednesday.Drew Angerer/Getty Imageshide caption Jack Lew, President Biden's nominee to be the U.S. Ambassador to Israel, arrives for a Senate Foreign Relations Committee confirmation hearing on Capitol Hill on Wednesday. The Senate Foreign Relations Committee held a hearing for Jack Lew, President Biden's nominee to the Israel post, on Wednesday — just one month after Lew was nominated. It's expected to hold a vote next week. If approved, Lew's nomination heads to the full Senate for confirmation. Lew was Treasury Secretary under President Barack Obama. He has also held numerous White House jobs and is a former director of the Office of Management and Budget. But Republicans on the panel criticized Lew, because he worked on the controversialIran nuclear dealin 2015. Lew, who is Jewish, told the panel he sees Iran as an""evil, malign government""and a threat to Israel. Lew's relatively rapid advance is paralleledelsewhere. This week, the Senate also confirmed new ambassadors to Kuwait and Oman, and the foreign relations panel is holding a hearing for Biden's pick to represent the U.S. in Egypt. Some important ambassadorial posts in the region, such as in Saudi Arabia and the United Arab Emirates, were filled earlier in 2023 after sitting empty for nearly a year. Even before the shocking Hamas attack on Oct. 7, U.S. diplomatic corps in Israel were very busy. The U.S had two main goals: trying to convince Prime Minister Benjamin Netanyahu to temper his plans to weaken the judiciary; and reaching an agreement between Israel and Saudi Arabia to normalize relations. ""We have diplomats for a reason,"" Pandith said. She later added, ""American foreign policy starts in Washington, but the leadership on the ground helps to see it through."" Before Hamas militants launched their surprise attack, at least five U.S. ambassador posts were sitting vacant in the Arabic world, according to theAmerican Foreign Service Association. ""Many of these countries are key regional actors who could be leveraged to advance U.S. interests in resolving the current round of fighting,"" Pandith said. ""For example, Egypt shares a border with Gaza and Oman is a trusted intermediary between the United States and Iran."" Israel:Vacant. Former U.S. Ambassador to Israel Tom Nidesannounced his resignation in May, after less than two years in the job. Last month, Bidenselected Jack Lewto fill the post. The Senate Foreign Relations Committee held a hearing on Lew's nomination on Wednesday. Egypt:Vacant. The nomination of Herro Mustafa Garg — a former ambassador to Bulgaria who speaks Arabic, Kurdish, Farsi, and several other languages — has been pending since late March. The Senate committee held ahearing for her nomination on Thursday. Oman:Filled, Oct. 17. Ana Escrogima was confirmed after her nominationlanguishedfor four months despite a favorable committee report. The delay was apparently due toholds placed in the Senate; senators can block nominations privately. Kuwait:Filled, Oct. 16. The Senate confirmed Karen Sasahara — who once served as America'sde facto ambassador to the Palestiniansin Jerusalem — to the Kuwait post nine months after Biden nominated her on Jan. 3. Jordan:Filled. Yael Lempert was sworn in as the new U.S. ambassador to Jordan on Aug. 9. Like Sasahara, she was nominated on Jan. 3. Lebanon:In flux. Lisa A. Johnson was nominated in February. She would replace Ambassador Dorothy C. Shea, who is nominated to be the U.S. deputy representative in the U.N. The foreign relations panel advanced both of their nominations to the full Senate this summer. Vacant ambassador posts do more than limit a country's ability to pursue strategic and foreign policy goals; the empty posts also send a message. ""We are promoting the view that what is happening there is not important to us,"" and the U.S. doesn't have interests in the Middle East, Pandith said. ""The irony is that China has also taken to filling the diplomatic void we've left in the region,"" she said, ""the most notable example being this spring when it brokered an agreement between Saudi Arabia and Iran, notorious historical foes."" Most of the delays have nothing to do with the candidates, many of whom are career diplomats. Senators can place a block on their nominations to gain leverage for their own political aims — such as when Sen. Rand Paul, R-Ky., blocked all State Department nominees earlier this year in his fight for records related to theorigins of COVID-19. When Paul lifted his block in July, the Senateconfirmed 15 ambassadorsin one day. Such delays are a sign of how the confirmation process has become increasingly politicized. Four years ago, the U.S. diplomatic corps also haddozens of vacancies— but nearly all of the longest-delayed nominations were for political appointees, not career diplomats. As of this week, 13 nominations from 2022 are still pending, and nearly all of them are for career diplomats."
Energycentral.com,[Energy Central] Aniket Kumar,"Catalytic Discovery: France Unveils Massive 'White Hydrogen' Reserve, Paving the Way for Global Energy Transformation","White hydrogen is naturally produced in the Earth's crust and is considered a potential clean energy. Unlike other forms of hydrogen, white hydrogen only produces water when it is burned, making it an exceptionally clean energy source with enormous potential.…",https://energycentral.com/c/cp/catalytic-discovery-france-unveils-massive-white-hydrogen-reserve-paving-way,https://energycentral.com/sites/default/files/styles/og_meta/public/ece/node_main/2023/10/th.jpg?itok=agzTNp_N,2023-11-01 10:24:53.000000,"White hydrogen is naturally produced in the Earth's crust and is considered a potential clean energy. Unlike other forms of hydrogen, white hydrogen only produces water when it is burned, making it a… [+1454 chars]",Oman,
Biztoc.com,arabnews.com,"Saudi Arabia, Oman sign nuclear, radiation safety deal","RIYADH: In a joint effort to improve nuclear and radiation safety and protection, Saudi Arabia and Oman have signed an agreement, furthering their commitment to advancing the sector’s technology. The memorandum of understanding aims to advance and strengthen …",https://biztoc.com/x/073af8db75de7cfc,https://c.biztoc.com/p/073af8db75de7cfc/s.webp,2023-10-22 12:52:08.000000,"RIYADH: In a joint effort to improve nuclear and radiation safety and protection, Saudi Arabia and Oman have signed an agreement, furthering their commitment to advancing the sectors technology.The m… [+305 chars]",Oman,
Biztoc.com,arabnews.com,Saudi Arabia showcases urbanization initiatives at Oman housing conference,"RIYADH: Saudi Arabia is set to exhibit its accomplishments in diverse urbanization initiatives during its participation in the inaugural housing conference in Oman. Represented by the Ministry of Municipal and Rural Affairs, the Kingdom will present several s…",https://biztoc.com/x/fec020b184ef2286,https://c.biztoc.com/p/fec020b184ef2286/s.webp,2023-10-29 15:50:14.000000,RIYADH: Saudi Arabia is set to exhibit its accomplishments in diverse urbanization initiatives during its participation in the inaugural housing conference in Oman.Represented by the Ministry of Muni… [+303 chars],Oman,
Globalsecurity.org,John Pike,"Muslim nations must rush to aid Palestinians against Israel, Iran FM tells Omani counterpart",Iranian Foreign Minister Hossein Amir-Abdollahian urges Muslim countries to rush to support the Palestinian people in their fight against the Israeli regime.,https://www.globalsecurity.org/military/library/news/2023/10/mil-231009-presstv07.htm,,2023-10-10 08:59:18.000000,"Iran Press TV
Monday, 09 October 2023 5:41 PM
Iranian Foreign Minister Hossein Amir-Abdollahian urges Muslim countries to rush to support the Palestinian people in their fight against the Israeli r… [+2405 chars]",Oman," Iran Press TV Monday, 09 October 2023 5:41 PM Iranian Foreign Minister Hossein Amir-Abdollahian urges Muslim countries to rush to support the Palestinian people in their fight against the Israeli regime. ""Under the current circumstances, the [Palestinian] people in the occupied Gaza Strip and the West Bank need support of Muslim countries more than ever,"" Amir-Abdollahian said in a phone call with Omani Foreign Minister Sayyid Badr Albusaidi on Monday. He added that Iran and Oman have always supported the Palestinian people in the face of the Israeli enemy. Pointing to Israel's crimes against the Palestinian people, the top Iranian diplomat said the regime killed 260 Palestinians, including 40 children and 11 women, in recent months. He added that the Israeli regime has also arrested more Palestinians in the West Bank as the number of Palestinian prisoners has reached nearly 5,000, about 200 of whom are women and children. Amir-Abdollahian emphasized that the Tel Aviv regime also escalated its attacks on al-Aqsa Mosque and carried out more sacrilegious acts against it. The ongoing massive military operation by the Palestinian resistance movement Hamas was a response to Israel's measures, he pointed out. The Iranian foreign minister said that in separate phone calls with a number of his counterparts from Muslim countries, he called for an immediate emergency meeting of the Organization of Islamic Cooperation (OIC) to discuss the Palestinian issue. Since early Saturday, the large-scale multi-pronged operation has featured heavy rocket barrages and surprise attacks by resistance fighters against Israeli forces and settlers in the occupied territories. Palestinian resistance leaders have described the operation as a decisive answer to the regime's unabated campaign of bloodshed and destruction against Palestinians. The resistance groups in the besieged Gaza Strip have since the launch of Operation Al-Aqsa Storm fired more than 5,000 rockets at the occupied territories, with Israeli media outlets saying more than 800 settlers and troops have been killed and over 2,400 others injured. For his part, Albusaidi said Oman like other countries in the region and the world expresses its sympathy with the Palestinian people over the killing of hundreds of innocent civilians. The Omani foreign minister added that the international community must recognize the Palestinian people's right to determine their own fate and liberate the occupied territories.  "
Hospitality Net,UNWTO,Celebrating the Power of Tourism Through Film: UNWTO Video Competition Winners Announced,"The power of visual storytelling to highlight tourism as a force for good has been celebrated with the 2023 edition of the UNWTO Tourism Video Competition. Member States from all regions were invited to submit their videos for consideration, with jury made up…",https://www.hospitalitynet.org/news/4118732.html,https://www.hospitalitynet.org/HN-icon.jpg,2023-10-23 09:23:20.000000,The power of visual storytelling to highlight tourism as a force for good has been celebrated with the 2023 edition of the UNWTO Tourism Video Competition. Member States from all regions were invited… [+2195 chars],Oman,
Biztoc.com,businessinsider.com,"British warships, aircraft, and a force of Royal Marines are joining a US Navy carrier strike group in waters near Israel","40 Commando, Royal Marines prepare before heading from RFA Lyme Bay on a night time raid as part of exercise 'Saif Sareea 3' on October 23, 2018 in the Arabian Sea, Oman. Photo by Dan Kitwood/Getty Images The British military is sending warships, aircraft, an…",https://biztoc.com/x/61cd69274fda73af,https://c.biztoc.com/p/61cd69274fda73af/s.webp,2023-10-12 20:24:09.000000,"40 Commando, Royal Marines prepare before heading from RFA Lyme Bay on a night time raid as part of exercise 'Saif Sareea 3' on October 23, 2018 in the Arabian Sea, Oman.Photo by Dan Kitwood/Getty Im… [+294 chars]",Oman,
Biztoc.com,arabnews.com,"Oman’s Islamic banking sector sees 13% asset growth, reaches $18.28bn","RIYADH: Oman’s banking sector has experienced significant growth, with the combined assets of banks and Islamic windows rising annually, rising 13 percent to about 7 billion Omani rials ($18.28 billion) in July, reported its central bank. According to the Cen…",https://biztoc.com/x/b77b4abc61702188,https://c.biztoc.com/p/b77b4abc61702188/s.webp,2023-10-08 12:48:10.000000,"RIYADH: Omans banking sector has experienced significant growth, with the combined assets of banks and Islamic windows rising annually, rising 13 percent to about 7 billion Omani rials ($18.28 billio… [+290 chars]",Oman,
Biztoc.com,arabnews.com,Saudi Aramco raises November Arab light crude prices to Asia,"RIYADH: For the fifth consecutive month, Saudi Aramco raised the November official selling prices for the flagship Arab light crude it sells to Asia to plus $4 a barrel versus the Oman/Dubai average, the oil company announced on Thursday. The top oil exporter…",https://biztoc.com/x/69f319b43a38e8be,https://c.biztoc.com/p/69f319b43a38e8be/s.webp,2023-10-05 18:42:13.000000,"RIYADH: For the fifth consecutive month, Saudi Aramco raised the November official selling prices for the flagship Arab light crude it sells to Asia to plus $4 a barrel versus the Oman/Dubai average,… [+283 chars]",Oman,
Newsweek,Anna Skinner,Rare Storm to Drop 10 Times Yearly Rain Overnight,Yemen was ravaged by Cyclone Tej on Tuesday morning.,https://www.newsweek.com/cyclone-tej-yemen-10-times-yearly-rainfall-1837317,https://d.newsweek.com/en/full/2298666/rare-storm-causes-flooding-yemen.jpg,2023-10-24 13:58:54.000000,"Cyclone Tej is ravaging Yemen and could drop 20 inches of rain on the desert nation overnight—10 times the area's annual average rainfall.
The cyclone made landfall Tuesday morning and has already r… [+3974 chars]",Oman,
Biztoc.com,reuters.com,"Saudi Arabia, other Arab states reaffirm commitment to voluntary oil production adjustments","The OPEC logo pictured ahead of an informal meeting between members of the Organization of the Petroleum Exporting Countries (OPEC) in Algiers, Algeria, September 28, 2016. REUTERS/Ramzi Boudina//File Photo Acquire Licensing Rights Oct 8 (Reuters) - Bahrain, …",https://biztoc.com/x/a402824c7e19ce05,https://c.biztoc.com/p/a402824c7e19ce05/og.webp,2023-10-08 22:08:06.000000,"The OPEC logo pictured ahead of an informal meeting between members of the Organization of the Petroleum Exporting Countries (OPEC) in Algiers, Algeria, September 28, 2016. REUTERS/Ramzi Boudina//Fil… [+276 chars]",Oman,
Biztoc.com,reuters.com,"Saudi Arabia, other Arab states reaffirm commitment to voluntary oil production adjustments","The OPEC logo pictured ahead of an informal meeting between members of the Organization of the Petroleum Exporting Countries (OPEC) in Algiers, Algeria, September 28, 2016. REUTERS/Ramzi Boudina//File Photo Acquire Licensing Rights Oct 8 (Reuters) - Bahrain, …",https://biztoc.com/x/f4e0f3d4b4722979,https://c.biztoc.com/p/f4e0f3d4b4722979/s.webp,2023-10-09 02:10:12.000000,"The OPEC logo pictured ahead of an informal meeting between members of the Organization of the Petroleum Exporting Countries (OPEC) in Algiers, Algeria, September 28, 2016. REUTERS/Ramzi Boudina//Fil… [+276 chars]",Oman,
Biztoc.com,reuters.com,"Saudi Arabia, other Arab states reaffirm commitment to voluntary oil production adjustments","The OPEC logo pictured ahead of an informal meeting between members of the Organization of the Petroleum Exporting Countries (OPEC) in Algiers, Algeria, September 28, 2016. REUTERS/Ramzi Boudina//File Photo Acquire Licensing Rights Oct 8 (Reuters) - Bahrain, …",https://biztoc.com/x/a356bee11e6027c7,https://c.biztoc.com/p/a356bee11e6027c7/s.webp,2023-10-08 19:08:05.000000,"The OPEC logo pictured ahead of an informal meeting between members of the Organization of the Petroleum Exporting Countries (OPEC) in Algiers, Algeria, September 28, 2016. REUTERS/Ramzi Boudina//Fil… [+276 chars]",Oman,
Digital Journal,AFP,Oman revives CO2-busting mangroves as climate threat lurks,"In a muddy wetland in Oman’s capital, environmental scientist Zakiya al-Afifi measures the bark of a mangrove tree, estimating its capacity to absorb the carbon dioxide that is slowly heating the planet. Standing in the leafy reserve, shielded from the fierce…",https://www.digitaljournal.com/world/oman-revives-co2-busting-mangroves-as-climate-threat-lurks/article,https://www.digitaljournal.com/wp-content/uploads/2023/10/37aea8ad417d77d44fcd0ec97867032b8876368f.jpg,2023-10-31 04:31:07.000000,"Israa al-Maskari, a student in environmental science, inspects mangroves in a nursery at Oman's Al-Qurm nature reserve - Copyright AFP Karim SAHIB
In a muddy wetland in Oman’s capital, environmental… [+4620 chars]",Oman,
The Star Online,The Star Online,Anwar: World must address the Palestine-Israel conflict,"RIYADH: The international community should come together to put an end to the disproportionate treatment and flagrant hypocrisy against the Palestinians, says Datuk Seri Anwar Ibrahim. Read full story",https://www.thestar.com.my/news/nation/2023/10/21/anwar-world-must-address-the-palestine-israel-conflict,https://apicms.thestar.com.my/uploads/images/2023/10/21/2346987.JPG,2023-10-20 16:00:00.000000,"RIYADH: The international community should come together to put an end to the disproportionate treatment and flagrant hypocrisy against the Palestinians, says Datuk Seri Anwar Ibrahim.
The Prime Min… [+3716 chars]",Oman,
Biztoc.com,arabnews.com,Oman’s total foreign assets rise 27.4% to $17.82bn,"RIYADH: The total foreign assets of the Central Bank of Oman increased 27.4 percent year on year to 6.86 billion Omani riyals ($17.82 billion) by the end of July, according to its statistics authority. The National Center for Statistics and Information also r…",https://biztoc.com/x/c4b1752cb147d0d1,https://c.biztoc.com/p/c4b1752cb147d0d1/s.webp,2023-10-03 12:46:11.000000,"RIYADH: The total foreign assets of the Central Bank of Oman increased 27.4 percent year on year to 6.86 billion Omani riyals ($17.82 billion) by the end of July, according to its statistics authorit… [+294 chars]",Oman,
Biztoc.com,investing.com,"Saudi Arabia, other Arab states reaffirm commitment to voluntary oil production adjustments","Bahrain, Iraq, Kuwait, Oman, Saudi Arabia and the United Arab Emirates reaffirmed their commitment to ""collective and individual voluntary adjustments"" to oil production, the Saudi state news agency said on Sunday. The oil ministers of the six countries met o…",https://biztoc.com/x/2657abfe8292af2c,https://c.biztoc.com/p/2657abfe8292af2c/s.webp,2023-10-08 19:44:05.000000,"Bahrain, Iraq, Kuwait, Oman, Saudi Arabia and the United Arab Emirates reaffirmed their commitment to ""collective and individual voluntary adjustments"" to oil production, the Saudi state news agency … [+284 chars]",Oman,
The Jerusalem Post,By Sam Halpern,UAE foreign ministry ‘appalled’ by Hamas actions,"In a statement, the United Arab Emirates’ foreign ministry noted that Hamas’s attack on Israel is a “serious and grave escalation.”",https://www.jpost.com/middle-east/article-765300,"https://images.jpost.com/image/upload/f_auto,fl_lossy/c_fill,g_faces:center,h_407,w_690/556816",2023-10-09 00:02:57.000000,"The United Arab Emirates’ foreign ministry spoke out against the assault by Hamas on Israel in a statement on Sunday.
“The ministry stressed that attacks by Hamas against Israeli towns and villages … [+2687 chars]",Oman,
Biztoc.com,businessinsider.com,McDonald's caught up in Israel-Hamas war as franchisees in the Middle East pledge aid to different sides,"McDonald's caught up in Israel-Palestine war. McDonald's Israel Last week, McDonald's Israel began donating meals daily to the Israel Defence Forces. Two days later, McDonald's Oman said it had donated $100,000 to help the people of Gaza. Gaza is under siege …",https://biztoc.com/x/67da1c35f96a6ec1,https://c.biztoc.com/p/67da1c35f96a6ec1/s.webp,2023-10-16 22:28:08.000000,"McDonald's caught up in Israel-Palestine war.McDonald's IsraelLast week, McDonald's Israel began donating meals daily to the Israel Defence Forces.Two days later, McDonald's Oman said it had donated … [+291 chars]",Oman,
Thefly.com,,Shell signs shareholder's agreement to extend partnership for Oman LNG,"See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…",https://thefly.com/permalinks/entry.php/id3798082/SHEL-Shell-signs-shareholders-agreement-to-extend-partnership-for-Oman-LNG,https://thefly.com/images/meta/hotstocks.jpg,2023-10-23 13:54:55.000000,"Earnings calls, analyst events, roadshows and more",Oman,
Biztoc.com,arabnews.com,"KSA, Oman to boost trade ties through cooperation over free zones","RIYADH: Saudi Arabia and Oman are discussing enhancing cooperation in free zones and economic cities to further boost trade. On Sunday, Saudi Economic Cities and Special Zones Authority Secretary-General Nabil Khoja met his Omani counterpart Ali Al-Sunaidy, t…",https://biztoc.com/x/41dd882ae8176ee9,https://c.biztoc.com/p/41dd882ae8176ee9/s.webp,2023-10-29 15:50:17.000000,"RIYADH: Saudi Arabia and Oman are discussing enhancing cooperation in free zones and economic cities to further boost trade.On Sunday, Saudi Economic Cities and Special Zones Authority Secretary-Gene… [+280 chars]",Oman,
Moneycontrol,Moneycontrol News,"Solar Industries hits record high on winning orders worth Rs 1,853 crore from Coal India",The Nagpur-based company is one of the largest manufacturers and suppliers of explosives and explosive accessories in India,https://www.moneycontrol.com/news/business/solar-industries-hits-record-high-on-winning-orders-worth-rs-1853-crore-from-coal-india-11500561.html,https://images.moneycontrol.com/static-mcnews/2023/10/Sensex_up_higher-1-770x433.jpg,2023-10-09 05:51:23.000000,"Solar Industries gained 4 percent to hit an all-time high of Rs 5,359 per share on the BSE on October 9 after it bagged orders worth Rs 1,853 crore from Coal India for supply of bulk explosives. The … [+2804 chars]",Oman,
CNN,Matt Egan,US and Gulf nations target 'secret' Hamas investment portfolio worth up to $1 billion,"The United States along with some Middle Eastern nations are stepping up efforts to target a ""secret"" Hamas investment portfolio government officials believe to be worth up to $1 billion.",https://www.cnn.com/2023/10/24/business/hamas-secret-investment-portfolio-israel/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/231024140855-hamas-gaza-city-1007-restricted.jpg?c=16x9&q=w_800,c_fill",2023-10-24 22:08:11.000000,"The United States along with some Middle Eastern nations are stepping up efforts to target a secret Hamas investment portfolio government officials believe to be worth up to $1 billion. 
To target t… [+2769 chars]",Oman,"The United States along with some Middle Eastern nations are stepping up efforts to target a “secret” Hamas investment portfolio government officials believe to be worth up to $1 billion. To target the Hamas investment portfolio, a US official said Tuesday the Treasury Department is working with members of the Gulf Cooperation Council: Saudi Arabia, Qatar, Kuwait, Oman, Bahrain and the United Arab Emirates. Following the Hamas terror attacks on Israel, US and Saudi officials convened an emergency meeting on Tuesday in Riyadh of the Terrorist Financing Targeting Center, which includes the United States and the GCC nations. The meeting was originally scheduled to take place in November. The US official said there has been a redoubling of efforts since Hamas’ October 7 attack on Israelto use the TFTC, which was created in 2017, to go after Hamas, Hezbollah and other Iranian-aligned militant groups, including by sharing relevant, timely and actionable information. Last week,Treasury leveled sanctionson individuals that officials say aremanaging assets in a “secret” Hamas investment portfoliolikely valued at between $400 million and $1 billion, according to a US official. The official added that the portfolio is generating significant amounts of revenue for Hamas. 'They're opportunistic and adaptive': How Hamas is using cryptocurrency to raise funds Treasury has said the global portfolio of investments includes companies operating “under the guise of legitimate businesses” in Sudan, Algeria, Turkey, the United Arab Emirates and other nations. “We cannot tolerate a world in which Hamas and other terrorist organizations’ fundraisers live and operate with impunity, abusing the financial system, to sustain their terror.” Brian Nelson, Treasury’s under secretary for terrorism and financial intelligence, said during prepared remarks at the emergency TFTC meeting. Nelson urged the Gulf nations to share more information on the parts of the Hamas financial ecosystem “vulnerable to disruption” and called on member countries to take action. “From our perspective, not acting against Hamas and its terrorism is a disservice to the Palestinian people,” Nelson said. “From a financial standpoint, we can clearly see that Hamas has exacerbated economic hardships for decades in the Gaza strip by diverting humanitarian assistance to support its campaign of terror, and we must publicly condemn these actions.” A UAE official told CNN on Wednesday the Gulf nation supports global efforts to fight money laundering and terror financing. “The UAE is committed to combatting illegal financial activities such as money laundering and financing of terrorism,” the official said in a statement. “The country’s policies and strategies detect and deter financial crimes and prevent the use of its lands as a transit route or to transfer funds resulting from any criminal activity.” In another step aimed at disrupting Hamas funding, Deputy Treasury Secretary Wally Adeyemo plans to travel to Europe on Friday, the Treasury Department announced. Adeyemo plans to work with partners in Europe to “deny Hamas and other terrorist organizations the ability to raise and use funds.” Last week, Treasury’s Financial Crimes Enforcement Network laid out new rules taking aim at the ability of Hamas and other terror groups touse cryptocurrencies for fundraising.FinCEN proposeddesignating foreign cryptocurrency “mixers” – platforms that make digital funds harder to track – as money laundering and national security risks."
